-0.306,-0.824,-0.793,-0.627,-0.523,-0.482,-0.43,-0.296,-0.182
-0.203,-0.73,-0.813,-0.513,-0.627,-0.41,-0.472,-0.223,-0.213
-0.192,-0.648,-0.803,-0.699,-0.534,-0.461,-0.275,-0.244,-0.13
-0.109,-0.627,-0.71,-0.741,-0.513,-0.482,-0.285,-0.337,-0.099
-0.285,-0.793,-0.679,-0.648,-0.296,-0.347,-0.42,-0.306,-0.161
-0.213,-0.813,-0.772,-0.648,-0.658,-0.399,-0.368,-0.192,-0.358
-0.151,-0.72,-0.793,-0.586,-0.544,-0.43,-0.389,-0.399,-0.13
-0.213,-0.761,-0.855,-0.627,-0.513,-0.451,-0.451,-0.358,-0.12
-0.327,-0.627,-0.782,-0.699,-0.565,-0.637,-0.316,-0.368,-0.161
-0.192,-0.772,-0.761,-0.699,-0.627,-0.586,-0.565,-0.109,-0.203
-0.13,-0.782,-0.741,-0.637,-0.679,-0.368,-0.389,-0.358,-0.13
-0.192,-0.699,-0.834,-0.648,-0.617,-0.42,-0.306,-0.327,-0.089
-0.265,-0.679,-0.844,-0.699,-0.534,-0.389,-0.275,-0.151,-0.182
-0.265,-0.658,-0.937,-0.824,-0.41,-0.43,-0.42,-0.223,-0.223
-0.171,-0.73,-0.73,-0.772,-0.544,-0.472,-0.161,-0.12,-0.13
-0.182,-0.855,-0.71,-0.627,-0.648,-0.337,-0.254,-0.223,-0.099
-0.296,-0.606,-0.741,-0.482,-0.461,-0.482,-0.285,-0.378,-0.192
-0.244,-0.761,-0.855,-0.689,-0.513,-0.441,-0.441,-0.254,-0.223
-0.192,-0.813,-0.761,-0.793,-0.492,-0.347,-0.316,-0.285,-0.13
-0.203,-0.668,-0.793,-0.575,-0.679,-0.42,-0.42,-0.482,-0.099
-0.306,-0.855,-0.844,-0.689,-0.586,-0.42,-0.327,-0.399,-0.182
-0.016,-0.544,-0.761,-0.679,-0.503,-0.565,-0.296,-0.275,-0.213
-0.203,-0.689,-0.813,-0.617,-0.534,-0.658,-0.43,-0.192,-0.14
-0.171,-0.689,-0.855,-0.699,-0.492,-0.389,-0.347,-0.41,-0.13
-0.275,-0.73,-0.772,-0.689,-0.668,-0.461,-0.285,-0.234,-0.161
-0.265,-0.813,-0.699,-0.679,-0.658,-0.378,-0.368,-0.223,-0.213
-0.192,-0.71,-0.689,-0.554,-0.513,-0.441,-0.492,-0.223,-0.14
-0.182,-0.648,-0.803,-0.482,-0.523,-0.617,-0.347,-0.254,-0.099
-0.275,-0.72,-0.855,-0.648,-0.358,-0.389,-0.399,-0.265,-0.151
-0.285,-0.772,-0.761,-0.699,-0.534,-0.316,-0.275,-0.203,-0.223
-0.203,-0.793,-0.668,-0.617,-0.606,-0.503,-0.368,-0.099,-0.151
-0.182,-0.782,-0.72,-0.617,-0.554,-0.534,-0.337,-0.14,0.118
-0.265,-0.72,-0.761,-0.627,-0.492,-0.347,-0.285,-0.43,-0.192
-0.306,-0.689,-0.865,-0.668,-0.679,-0.43,-0.285,-0.327,-0.234
-0.192,-0.73,-0.782,-0.741,-0.617,-0.399,-0.275,-0.223,-0.12
-0.161,-0.803,-0.699,-0.761,-0.648,-0.606,-0.534,-0.213,0.16
-0.234,-0.761,-0.71,-0.596,-0.513,-0.461,-0.306,-0.347,-0.161
-0.327,-0.679,-0.72,-0.617,-0.451,-0.368,-0.223,-0.265,-0.223
-0.223,-0.679,-0.803,-0.751,-0.554,-0.42,-0.389,-0.244,-0.192
-0.14,-0.689,-0.948,-0.699,-0.648,-0.461,-0.43,-0.265,-0.099
-0.203,-0.751,-0.751,-0.627,-0.472,-0.554,-0.399,-0.285,-0.151
-0.316,-0.855,-0.72,-0.544,-0.43,-0.554,-0.327,-0.337,-0.234
-0.223,-0.751,-0.72,-0.586,-0.503,-0.42,-0.213,-0.203,-0.13
-0.192,-0.71,-0.741,-0.658,-0.627,-0.389,-0.472,-0.275,-0.234
-0.234,-0.72,-0.855,-0.875,-0.637,-0.544,-0.43,-0.389,-0.203
-0.306,-0.741,-0.772,-0.441,-0.596,-0.492,-0.213,-0.368,-0.223
-0.254,-0.865,-0.72,-0.648,-0.451,-0.378,-0.254,-0.316,-0.027
-0.347,-0.751,-0.72,-0.617,-0.503,-0.451,-0.254,-0.203,-0.058
-0.203,-0.741,-0.813,-0.72,-0.596,-0.337,-0.472,-0.441,-0.171
-0.306,-0.71,-0.844,-0.844,-0.699,-0.596,-0.378,-0.275,-0.223
-0.244,-0.751,-0.793,-0.575,-0.575,-0.347,-0.223,-0.223,-0.13
